127.0.0.1 - - [10/Jan/2021:02:08:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:08:56 +0900] "GET /note/cookie.html HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:06 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:08 +0900] "GET /servlet/cookie?search=JAVA HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:11 +0900] "GET /servlet/cookie?search=JAVA HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:23 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:26 +0900] "GET /servlet/cookie?search=JAVA HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:29 +0900] "GET /servlet/cookie?search=JAVA HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:31 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:33 +0900] "GET /servlet/cookie?search=ORACLE HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:09:34 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:10:23 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:10:24 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:11:12 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 200 4548
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:11:23 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:02:11:23 +0900] "GET /servlet/f_cookie.html HTTP/1.1" 304 -
